Config: HL=[4], Act=Sigmoid, Ep=10, LR=0.001, BS=16, Acc=0.7805
Config: HL=[4], Act=Sigmoid, Ep=10, LR=0.001, BS=32, Acc=0.7902
Config: HL=[4], Act=Sigmoid, Ep=10, LR=0.001, BS=64, Acc=0.7756
Config: HL=[4], Act=Sigmoid, Ep=10, LR=0.001, BS=128, Acc=0.5024
Config: HL=[4], Act=Sigmoid, Ep=10, LR=0.0001, BS=16, Acc=0.4976
Config: HL=[4], Act=Sigmoid, Ep=10, LR=0.0001, BS=32, Acc=0.4976
Config: HL=[4], Act=Sigmoid, Ep=10, LR=0.0001, BS=64, Acc=0.5024
Config: HL=[4], Act=Sigmoid, Ep=10, LR=0.0001, BS=128, Acc=0.5024
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.1, BS=16, Acc=0.8585
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.1, BS=32, Acc=0.9024
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.1, BS=64, Acc=0.8683
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.1, BS=128, Acc=0.8780
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.01, BS=16, Acc=0.8146
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.01, BS=32, Acc=0.8146
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.01, BS=64, Acc=0.7902
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.01, BS=128, Acc=0.8293
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.001, BS=16, Acc=0.7951
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.001, BS=32, Acc=0.8098
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.001, BS=64, Acc=0.7902
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.001, BS=128, Acc=0.7366
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.0001, BS=16, Acc=0.7220
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.0001, BS=32, Acc=0.5707
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.0001, BS=64, Acc=0.6390
Config: HL=[4], Act=Sigmoid, Ep=25, LR=0.0001, BS=128, Acc=0.4976
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.1, BS=16, Acc=0.8293
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.1, BS=32, Acc=0.8927
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.1, BS=64, Acc=0.9024
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.1, BS=128, Acc=0.9024
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.01, BS=16, Acc=0.8537
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.01, BS=32, Acc=0.8634
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.01, BS=64, Acc=0.8390
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.01, BS=128, Acc=0.8293
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.001, BS=16, Acc=0.8000
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.001, BS=32, Acc=0.8000
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.001, BS=64, Acc=0.8049
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.001, BS=128, Acc=0.7902
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.0001, BS=16, Acc=0.7707
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.0001, BS=32, Acc=0.7561
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.0001, BS=64, Acc=0.4976
Config: HL=[4], Act=Sigmoid, Ep=50, LR=0.0001, BS=128, Acc=0.5024
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.1, BS=16, Acc=0.8878
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.1, BS=32, Acc=0.8780
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.1, BS=64, Acc=0.8780
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.1, BS=128, Acc=0.9415
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.01, BS=16, Acc=0.9073
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.01, BS=32, Acc=0.8878
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.01, BS=64, Acc=0.8780
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.01, BS=128, Acc=0.8585
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.001, BS=16, Acc=0.8098
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.001, BS=32, Acc=0.7902
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.001, BS=64, Acc=0.8049
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.001, BS=128, Acc=0.8049
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.0001, BS=16, Acc=0.7951
Config: HL=[4], Act=Sigmoid, Ep=100, LR=0.0001, BS=32, Acc=0.7902
