Config: HL=[4], Act=Softmax, Ep=50, LR=0.1, BS=32, Acc=0.7750
Config: HL=[4], Act=Softmax, Ep=50, LR=0.1, BS=64, Acc=0.9150
Config: HL=[4], Act=Softmax, Ep=50, LR=0.01, BS=16, Acc=0.9050
Config: HL=[4], Act=Softmax, Ep=50, LR=0.01, BS=32, Acc=0.8500
Config: HL=[4], Act=Softmax, Ep=50, LR=0.01, BS=64, Acc=0.9000
Config: HL=[4], Act=Softmax, Ep=50, LR=0.001, BS=16, Acc=0.8400
Config: HL=[4], Act=Softmax, Ep=50, LR=0.001, BS=32, Acc=0.7450
Config: HL=[4], Act=Softmax, Ep=50, LR=0.001, BS=64, Acc=0.6850
Config: HL=[8, 4], Act=ReLU, Ep=10, LR=0.1, BS=16, Acc=0.8850
Config: HL=[8, 4], Act=ReLU, Ep=10, LR=0.1, BS=32, Acc=0.8800
Config: HL=[8, 4], Act=ReLU, Ep=10, LR=0.1, BS=64, Acc=0.8500
Config: HL=[8, 4], Act=ReLU, Ep=10, LR=0.01, BS=16, Acc=0.8750
Config: HL=[8, 4], Act=ReLU, Ep=10, LR=0.01, BS=32, Acc=0.8700
Config: HL=[8, 4], Act=ReLU, Ep=10, LR=0.01, BS=64, Acc=0.9200
Config: HL=[8, 4], Act=ReLU, Ep=10, LR=0.001, BS=16, Acc=0.8250
Config: HL=[8, 4], Act=ReLU, Ep=10, LR=0.001, BS=32, Acc=0.7350
Config: HL=[8, 4], Act=ReLU, Ep=10, LR=0.001, BS=64, Acc=0.6900
Config: HL=[8, 4], Act=ReLU, Ep=25, LR=0.1, BS=16, Acc=0.4700
Config: HL=[8, 4], Act=ReLU, Ep=25, LR=0.1, BS=32, Acc=0.8950
Config: HL=[8, 4], Act=ReLU, Ep=25, LR=0.1, BS=64, Acc=0.8850
Config: HL=[8, 4], Act=ReLU, Ep=25, LR=0.01, BS=16, Acc=0.9350
Config: HL=[8, 4], Act=ReLU, Ep=25, LR=0.01, BS=32, Acc=0.9250
Config: HL=[8, 4], Act=ReLU, Ep=25, LR=0.01, BS=64, Acc=0.8900
Config: HL=[8, 4], Act=ReLU, Ep=25, LR=0.001, BS=16, Acc=0.8750
Config: HL=[8, 4], Act=ReLU, Ep=25, LR=0.001, BS=32, Acc=0.8300
Config: HL=[8, 4], Act=ReLU, Ep=25, LR=0.001, BS=64, Acc=0.7850
Config: HL=[8, 4], Act=ReLU, Ep=50, LR=0.1, BS=16, Acc=0.8400
Config: HL=[8, 4], Act=ReLU, Ep=50, LR=0.1, BS=32, Acc=0.8700
Config: HL=[8, 4], Act=ReLU, Ep=50, LR=0.1, BS=64, Acc=0.8800
Config: HL=[8, 4], Act=ReLU, Ep=50, LR=0.01, BS=16, Acc=0.8950
Config: HL=[8, 4], Act=ReLU, Ep=50, LR=0.01, BS=32, Acc=0.8800
Config: HL=[8, 4], Act=ReLU, Ep=50, LR=0.01, BS=64, Acc=0.9150
Config: HL=[8, 4], Act=ReLU, Ep=50, LR=0.001, BS=16, Acc=0.9050
Config: HL=[8, 4], Act=ReLU, Ep=50, LR=0.001, BS=32, Acc=0.8650
Config: HL=[8, 4], Act=ReLU, Ep=50, LR=0.001, BS=64, Acc=0.8600
Config: HL=[8, 4], Act=Sigmoid, Ep=10, LR=0.1, BS=16, Acc=0.8800
Config: HL=[8, 4], Act=Sigmoid, Ep=10, LR=0.1, BS=32, Acc=0.9100
